mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_booster;param_learning_rate;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
21.98;0.19;0.05;0.01;gblinear;0.01;500;{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 500};-18.16;-18.56;-18.77;-18.73;-18.55;0.24;12
43.78;0.37;0.05;0.0;gblinear;0.01;1000;{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 1000};-18.15;-18.55;-18.76;-18.72;-18.55;0.24;8
70.45;2.18;0.32;0.07;gblinear;0.01;150;{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 150};-18.76;-19.11;-19.35;-19.3;-19.13;0.23;41
59.09;1.04;0.26;0.01;gblinear;0.01;125;{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 125};-19.03;-19.37;-19.61;-19.57;-19.4;0.23;42
47.08;1.17;0.35;0.1;gblinear;0.01;100;{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 100};-19.45;-19.79;-20.03;-20.0;-19.82;0.23;43
466.68;3.28;0.13;0.05;gbtree;0.2;125;{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 125};-2.21;-1.96;-1.91;-1.96;-2.01;0.12;20
1915.46;7.58;16.33;1.54;dart;0.2;125;{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 125};-2.21;-1.96;-1.91;-1.96;-2.01;0.12;19
371.82;1.87;0.15;0.02;gbtree;0.2;100;{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 100};-2.37;-2.09;-2.03;-2.08;-2.14;0.13;22
1295.22;3.08;13.9;0.77;dart;0.2;100;{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 100};-2.37;-2.09;-2.03;-2.08;-2.14;0.13;21
355.45;0.89;0.13;0.04;gbtree;0.01;100;{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 100};-20.42;-20.48;-20.92;-21.05;-20.72;0.27;44
1277.19;2.52;12.68;0.71;dart;0.01;100;{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 100};-20.42;-20.48;-20.92;-21.05;-20.72;0.27;45
25.57;0.25;0.29;0.05;gblinear;0.01;50;{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 50};-21.81;-22.02;-22.33;-22.32;-22.12;0.22;46
188.35;0.39;0.14;0.02;gbtree;0.2;50;{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 50};-3.14;-2.99;-2.98;-3.02;-3.03;0.06;24
415.77;3.61;6.62;0.6;dart;0.2;50;{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 50};-3.14;-2.99;-2.98;-3.02;-3.03;0.06;23
186.29;2.77;0.02;0.01;gbtree;0.01;1000;{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 1000};-3.19;-3.1;-3.08;-3.16;-3.13;0.04;4
174.4;1.73;0.13;0.04;gbtree;0.01;50;{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 50};-31.18;-30.77;-31.43;-31.57;-31.23;0.3;48
400.74;1.14;6.95;0.48;dart;0.01;50;{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 50};-31.18;-30.77;-31.43;-31.57;-31.23;0.3;47
91.82;0.11;0.01;0.01;gbtree;0.01;500;{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 500};-4.58;-4.67;-4.68;-4.73;-4.67;0.06;7
2182.85;2.77;2.22;1.72;dart;0.01;500;{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 500};-4.58;-4.67;-4.68;-4.73;-4.67;0.06;8
